845.2043,445.5598,119.3368,61.6962,696.5586,827.546,202.8177,165.1077
285.2216,295.5589,918.8625,333.7144,239.4184,197.1114,731.9697,331.5067
265.2695,979.476,69.5648,336.5873,719.652,739.1093,319.201,891.2428
354.7995,833.0177,393.0527,882.2593,428.9871,756.8849,503.2338,119.5175
525.8327,68.5111,973.2734,568.4526,85.9615,492.063,950.1606,174.1475
915.5982,582.7755,538.271,363.8075,574.7728,825.2368,751.8858,256.2113
318.2784,622.5714,239.655,766.9273,606.5786,344.8059,422.5627,82.1175
762.6041,714.2692,66.6072,571.3049,592.4345,319.0198,607.3498,103.4723
967.8401,904.1943,110.7782,390.3,937.5073,335.2561,299.8728,27.7463
540.6306,242.9966,4.8596,843.0852,239.2716,38.5067,447.3149,717.6836
531.9999,255.4677,855.2248,76.027,393.3678,959.0404,957.0301,983.6264
798.734,574.2552,729.5066,831.9324,671.5503,941.3416,133.7649,56.9568
870.2039,19.5116,246.757,418.1783,662.4648,291.4026,25.4576,870.5102
431.0368,442.4817,587.0976,562.541,724.5092,917.185,765.9692,195.9537
825.7052,485.3712,454.7806,149.948,372.5268,622.2126,313.2262,223.2704
566.8403,287.5201,79.2231,859.8205,520.9341,75.4655,865.2572,692.1205
810.1508,790.6607,708.0595,495.8993,828.4286,637.9561,877.7558,942.9688
806.9181,524.9581,319.0137,929.7365,860.244,888.3161,194.8867,782.1499
380.2626,513.7283,137.8586,891.8613,644.3121,514.7464,537.7496,579.3355
916.3365,346.6171,60.3953,18.4453,866.419,553.8455,590.4847,358.267
35.1588,504.9783,416.9721,862.1947,786.0078,693.3875,813.646,267.8176
740.6656,273.2354,774.3444,706.6469,672.3376,824.9772,740.5342,599.7688
442.3631,448.0568,786.054,776.4944,966.1026,266.028,278.6479,387.0226
566.7866,959.3864,33.4668,553.626,171.8369,910.8414,437.9713,976.4624
958.8063,177.8384,28.0995,61.8922,500.7371,285.5418,567.0292,327.2117
618.9323,629.428,289.0095,552.9772,345.8408,644.2197,136.2313,487.9166
50.9325,750.7643,468.0525,494.385,831.727,160.3776,377.6294,169.8087
551.907,951.8388,229.0672,69.8826,578.3361,498.8262,108.083,732.1388
818.2383,398.3004,100.5455,34.8673,960.7257,104.6928,282.9225,995.419
739.0672,877.1054,773.7839,620.5929,596.5827,706.347,532.6021,708.3335
483.9986,752.0699,682.037,983.2035,545.6077,849.9165,223.7482,487.3833
877.5014,840.1385,629.005,202.9898,464.6479,321.0444,425.6042,554.6823
121.6723,536.6866,927.6959,693.9031,237.0384,615.0856,849.1459,338.6033
125.9552,675.4052,29.2547,522.6357,416.096,781.1865,286.9225,533.2698
873.5591,624.7872,718.8522,899.4469,982.4721,792.6199,277.8278,118.4043
793.6522,460.1162,693.3076,135.0247,58.2439,946.8349,817.1499,351.046
822.0732,164.4864,915.4932,500.0985,924.4503,930.0522,690.1751,529.1302
887.287,362.8696,497.1433,156.3045,951.2287,843.7308,355.9412,83.7003
606.3663,602.6306,365.4622,966.179,204.9539,331.9367,424.8028,655.075
633.9466,193.8468,536.2564,918.9616,444.8668,704.4438,429.7286,79.2799
853.6994,683.8802,460.2043,587.3419,682.1306,708.8778,30.0837,849.3889
406.2676,601.3936,188.3848,26.8783,358.6652,645.6667,202.0672,534.767
765.0026,667.9595,501.139,354.1569,776.9264,531.7633,741.6123,700.6388
460.8351,413.7867,651.5833,553.9526,309.8655,810.4904,91.548,524.0214
15.1361,789.3544,882.8075,757.858,867.1556,625.918,959.1787,348.6631
541.3775,334.9039,477.4712,741.3735,886.295,982.3197,71.3911,183.1602
589.4138,910.7766,299.3909,487.4683,538.4779,376.2905,818.6073,649.4744
280.5881,493.7986,936.7193,266.4936,725.4119,243.3228,753.0168,17.9539
114.1322,404.2728,745.4695,77.1819,623.4465,525.6872,334.2032,225.3377
782.571,532.2344,548.0333,569.5759,976.6743,516.357,521.7534,791.2447
819.1187,514.0905,857.999,838.517,468.8542,871.6063,805.8787,705.2538
158.2317,254.0812,702.8891,857.6437,103.948,590.0379,701.173,752.8331
222.8584,451.1557,429.7893,881.5538,186.087,881.808,523.5673,71.9823
911.5036,286.1813,868.0134,321.8765,539.6343,717.9489,801.896,168.1654
224.2913,124.9321,550.257,499.8337,204.3335,256.2338,499.1172,102.5103
773.7044,601.7708,843.9255,761.3975,473.6023,388.4842,284.6678,866.1872
376.2278,269.3363,577.4768,109.1275,899.2026,65.1627,420.1768,918.3813
580.7993,13.1868,347.1468,279.9158,161.8459,189.1,533.2464,649.0711
973.6082,309.7636,322.319,169.4658,830.9782,654.3481,624.9392,62.0563
288.3251,932.4046,714.5876,131.5292,795.1033,569.2096,188.4084,647.7901
482.4621,186.8888,195.4796,699.6959,613.5986,546.3325,12.885,913.3552
61.1878,632.0206,533.4406,828.9028,721.2223,167.9297,899.5314,426.1803
147.16,178.3566,907.1122,814.8783,672.1588,165.292,544.6293,680.3596
569.6475,499.3282,533.5528,960.8931,334.7615,826.5062,621.7742,987.0866
435.1109,605.4931,914.4508,224.2722,576.5581,164.4465,119.186,444.6475
